iter	Passed	Remaining
424	1545	2090
425	1546	2083
426	1547	2076
427	1548	2069
428	1549	2061
429	1550	2054
430	1551	2047
431	1552	2040
432	1552	2033
433	1585	2068
434	1588	2063
435	1593	2061
436	1608	2072
437	1627	2088
438	1645	2103
439	1659	2111
440	1670	2117
441	1672	2111
442	1674	2105
443	1676	2099
444	1685	2102
445	1687	2095
446	1688	2089
447	1690	2082
448	1692	2076
449	1702	2080
450	1704	2074
451	1706	2068
452	1708	2063
453	1722	2071
454	1737	2080
455	1749	2087
456	1753	2083
457	1762	2086
458	1766	2081
459	1771	2079
460	1783	2084
461	1798	2094
462	1801	2089
463	1813	2095
464	1817	2091
465	1819	2084
466	1820	2077
467	1846	2098
468	1847	2091
469	1848	2084
470	1850	2078
471	1851	2071
472	1859	2071
473	1861	2065
474	1862	2058
475	1863	2051
476	1864	2044
477	1866	2037
478	1867	2031
479	1872	2028
480	1896	2046
481	1913	2055
482	1923	2059
483	1925	2053
484	1959	2080
485	1972	2085
486	1979	2085
487	1996	2094
488	2030	2122
489	2034	2117
490	2042	2117
491	2044	2110
492	2065	2123
493	2071	2122
494	2074	2116
495	2075	2109
496	2077	2102
497	2078	2095
498	2079	2087
499	2126	2126
500	2144	2136
501	2160	2143
502	2169	2143
503	2171	2136
504	2172	2129
505	2191	2139
506	2202	2141
507	2205	2135
508	2217	2138
509	2220	2133
510	2231	2135
511	2232	2127
512	2236	2123
513	2237	2115
514	2241	2110
515	2241	2102
516	2242	2095
517	2243	2087
518	2243	2079
519	2244	2071
520	2245	2064
521	2246	2056
522	2246	2049
523	2247	2041
524	2248	2034
525	2248	2026
526	2249	2019
527	2254	2015
528	2257	2009
529	2257	2002
530	2258	1994
531	2259	1987
532	2260	1980
533	2260	1972
534	2261	1965
535	2308	1998
536	2312	1994
537	2323	1995
538	2326	1989
539	2337	1990
540	2386	2024
541	2387	2017
542	2389	2010
543	2391	2004
544	2401	2005
545	2403	1998
546	2404	1991
547	2406	1984
548	2407	1977
549	2409	1971
550	2417	1969
551	2418	1963
552	2420	1956
553	2422	1949
554	2432	1950
555	2450	1956
556	2451	1950
557	2453	1943
558	2457	1938
559	2470	1940
560	2473	1935
561	2476	1930
562	2488	1931
563	2490	1925
564	2491	1918
565	2493	1911
566	2495	1905
567	2498	1900
568	2500	1894
569	2502	1887
570	2514	1889
571	2533	1895
572	2538	1891
573	2550	1892
574	2553	1887
575	2554	1880
576	2563	1879
577	2565	1873
578	2567	1866
579	2584	1871
580	2586	1865
581	2595	1864
582	2597	1857
583	2598	1851
584	2634	1869
585	2635	1862
586	2641	1858
587	2644	1852
588	2645	1846
589	2647	1839
590	2650	1834
591	2659	1833
592	2661	1826
593	2667	1822
594	2677	1822
595	2678	1815
596	2681	1809
597	2682	1803
598	2691	1801
599	2694	1796
600	2697	1790
601	2707	1789
602	2709	1783
603	2711	1777
604	2712	1771
605	2714	1764
606	2718	1760
607	2722	1755
608	2724	1749
609	2733	1747
610	2735	1741
611	2739	1736
612	2741	1730
613	2749	1728
614	2763	1729
615	2766	1724
616	2768	1718
617	2769	1711
618	2770	1705
619	2771	1698
620	2775	1693
621	2780	1690
622	2784	1684
623	2788	1680
624	2793	1676
625	2801	1673
626	2804	1668
627	2805	1661
628	2806	1655
629	2809	1650
630	2818	1648
631	2821	1642
632	2841	1647
633	2846	1643
634	2855	1641
635	2856	1634
636	2867	1634
637	2870	1628
638	2872	1622
639	2873	1616
640	2880	1613
641	2881	1606
642	2882	1600
643	2884	1594
644	2897	1594
645	2898	1588
646	2900	1582
647	2901	1576
648	2902	1569
649	2903	1563
650	2905	1557
651	2909	1552
652	2930	1557
653	2940	1555
654	2944	1550
655	2947	1545
656	2955	1542
657	2956	1536
658	2959	1531
659	2961	1525
660	2962	1519
661	2979	1521
662	2988	1518
663	2989	1512
664	2991	1506
665	2992	1500
666	2994	1494
667	3002	1492
668	3005	1487
669	3007	1481
670	3022	1481
671	3023	1475
672	3025	1470
673	3026	1464
674	3052	1469
675	3054	1463
676	3068	1463
677	3071	1458
678	3074	1453
679	3080	1449
680	3083	1444
681	3086	1439
682	3088	1433
683	3089	1427
684	3097	1424
685	3098	1418
686	3100	1412
687	3101	1406
688	3102	1400
689	3103	1394
690	3104	1388
691	3106	1382
692	3109	1377
693	3110	1371
694	3111	1365
695	3132	1368
696	3133	1362
697	3134	1356
698	3142	1353
699	3144	1347
700	3145	1341
701	3147	1336
702	3148	1330
703	3156	1327
704	3158	1321
705	3159	1315
706	3161	1310
707	3162	1304
708	3163	1298
709	3164	1292
710	3174	1290
711	3176	1284
712	3179	1279
713	3188	1277
714	3191	1272
715	3192	1266
716	3194	1261
717	3196	1255
718	3204	1252
719	3205	1246
720	3207	1241
721	3208	1235
722	3210	1229
723	3211	1224
724	3221	1222
725	3223	1216
726	3225	1211
727	3228	1206
728	3233	1202
729	3235	1196
730	3236	1191
731	3237	1185
732	3246	1182
733	3247	1177
734	3249	1171
735	3251	1166
736	3253	1161
737	3264	1158
738	3268	1154
739	3269	1148
740	3270	1143
741	3275	1138
742	3276	1133
743	3278	1128
744	3282	1123
745	3289	1119
746	3290	1114
747	3294	1109
748	3295	1104
749	3297	1099
750	3298	1093
751	3306	1090
752	3308	1085
753	3309	1079
754	3311	1074
755	3313	1069
756	3314	1064
757	3324	1061
758	3327	1056
759	3338	1054
760	3339	1048
761	3341	1043
762	3342	1038
763	3354	1036
764	3357	1031
765	3358	1026
766	3369	1023
767	3370	1018
768	3372	1012
769	3373	1007
770	3374	1002
771	3376	997
772	3382	993
773	3387	989
774	3389	983
775	3392	979
776	3398	975
777	3409	972
778	3413	968
779	3423	965
780	3424	960
781	3426	955
782	3427	950
783	3429	944
784	3430	939
785	3441	937
786	3446	932
787	3454	929
788	3460	925
789	3473	923
790	3506	926
791	3510	921
792	3516	917
793	3519	913
794	3523	908
795	3525	903
796	3526	898
797	3532	894
798	3535	889
799	3537	884
800	3538	879
801	3551	876
802	3579	878
803	3581	873
804	3583	868
805	3584	862
806	3586	857
807	3587	852
808	3588	847
809	3593	842
810	3596	838
811	3597	832
812	3599	827
813	3600	822
814	3602	817
815	3604	812
816	3615	809
817	3629	807
818	3632	802
819	3639	798
820	3641	793
821	3645	789
822	3647	784
823	3654	780
824	3656	775
825	3657	770
826	3659	765
827	3660	760
828	3662	755
829	3664	750
830	3673	746
831	3675	742
832	3677	737
833	3680	732
834	3685	728
835	3688	723
836	3690	718
837	3698	714
838	3699	709
839	3701	704
840	3703	700
841	3705	695
842	3714	691
843	3715	686
844	3717	681
845	3718	676
846	3719	671
847	3728	668
848	3730	663
849	3731	658
850	3744	655
851	3745	650
852	3747	645
853	3748	640
854	3749	635
855	3751	631
856	3752	626
857	3760	622
858	3762	617
859	3763	612
860	3766	607
861	3776	604
862	3796	602
863	3797	597
864	3799	593
865	3808	589
866	3810	584
867	3814	580
868	3816	575
869	3824	571
870	3826	566
871	3828	561
872	3829	557
873	3831	552
874	3836	548
875	3839	543
876	3840	538
877	3843	534
878	3846	529
879	3854	525
880	3855	520
881	3856	515
882	3858	511
883	3860	506
884	3861	501
885	3869	497
886	3871	493
887	3872	488
888	3874	483
889	3875	479
890	3876	474
891	3878	469
892	3883	465
893	3884	460
894	3885	455
895	3886	451
896	3887	446
897	3892	442
898	3893	437
899	3899	433
900	3901	428
901	3903	424
902	3904	419
903	3905	414
904	3914	410
905	3916	406
906	3917	401
907	3919	397
908	3921	392
909	3931	388
910	3934	384
911	3936	379
912	3937	375
913	3948	371
914	3952	367
915	3953	362
916	3961	358
917	3966	354
918	3967	349
919	3977	345
920	4008	343
921	4010	339
922	4011	334
923	4012	330
924	4013	325
925	4015	320
926	4016	316
927	4021	312
928	4023	307
929	4024	302
930	4028	298
931	4029	294
932	4031	289
933	4040	285
934	4042	281
935	4043	276
936	4044	271
937	4046	267
938	4047	262
939	4048	258
940	4056	254
941	4058	249
942	4059	245
943	4060	240
944	4063	236
945	4065	232
946	4067	227
947	4068	223
948	4069	218
949	4071	214
950	4072	209
951	4074	205
952	4100	202
953	4102	197
954	4115	193
955	4133	190
956	4147	186
957	4148	181
958	4149	177
959	4151	172
960	4152	168
961	4162	164
962	4163	159
963	4168	155
964	4169	151
965	4171	146
966	4181	142
967	4182	138
968	4185	133
969	4192	129
970	4196	125
971	4200	120
972	4214	116
973	4215	112
974	4217	108
975	4219	103
976	4222	99
977	4230	95
978	4238	90
979	4240	86
980	4241	82
981	4243	77
982	4244	73
983	4249	69
984	4251	64
985	4252	60
986	4255	56
987	4256	51
988	4258	47
989	4259	43
990	4267	38
991	4268	34
992	4270	30
993	4273	25
994	4274	21
995	4282	17
996	4284	12
997	4285	8
998	4287	4
999	4290	0
